"Property","Type","Units","Manager","Assistant Mgr","Compliance Specialist","Address","City","State","Zip","Office","Fax","Manager Email","RPM","RVP","Latitude","Longitude","Created","Created By","Last Modified","Modified By"
"Cedar Glades","F","64","Katie Bronikowski","","Gail","500 Cedar Glades Circle","Shelbyville","TN","37160","931-735-6560","931-994-5501","cedarglades@gatewaymgt.com","Anna Walters","Erin Loupe","0","0","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:42:23Z","Stevens Elise Key"
"Cedar Hollow Family","F","29","Pamela Minix","","Kimberly","20879 Red Cedar Drive","Harrah","OK","73045","405-708-6055","","cedarhollow@gatewaymgt.com","Diana Stoflet","Erin Loupe","0","0","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:42:57Z","Stevens Elise Key"
"Cherokee Meadows","62","48","Colette Anderson","","Amber","1510 E. Reading St","Tulsa","OK","74106","918-398-0079","","cherokee@gatewaymgt.com","Diana Stoflet","Erin Loupe","36.17973","-95.972","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T14:45:44Z","Stevens Elise Key"
"Cherry Ridge Independent Living","55","56","Rachelle McPherson","","Bendetta","1100 Jeff Germany Pkwy","Birmingham","AL","35214","205-791-6789","(205) 623-5591","cherryridge@gatewaymgt.com","T'arra Brown","Erin Loupe","33.56188","-86.8692","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:44:56Z","Stevens Elise Key"
"Cherry Ridge Village Apts","55","56","Felicia Wiley","","Bendetta","1001 Cherry Avenue","Birmingham","AL","35214","205-868-3800","","cherryvillage@gatewaymgt.com","T'arra Brown","Erin Loupe","35.29443","-101.849","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:45:28Z","Stevens Elise Key"
"Cherry Woods","55","52","Felicia Wiley","","Bendetta","1101 Jeff Germany Pkwy","Birmingham","AL","35214","205-729-6200","(205) 729-6200","cherrywoods@gatewaymgt.com","T'arra Brown","Erin Loupe","33.56051","-86.8704","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:45:55Z","Stevens Elise Key"
"Clement Belle Farm - Lease up","F","64","Stacey Torrance","","Paulette","1000 Belle Farm Loop","Brunswick","GA","31523","912-574-3600","","clementbellefarm@gatewaymgt.com","Ciera Armstead | Tere Dykes","Paula Hall","0","0","2025-08-01T17:54:10Z","Alan Branch","2025-09-30T19:33:03Z","Amy Beans"
"Cobblestone Village","55","56","Nickita Roberts","","Gail","35 Cobblestone Drive","Clanton","AL","35045","205-810-1588","205-286-6685","cobblestone@gatewaymgt.com","Trisha Chauvin","Erin Loupe","43.81186","-79.3694","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:47:30Z","Stevens Elise Key"
"College Square","F","61","Jennifer Glover","","Kimberly","1207 Edwards Street","Fort Valley","GA","31030","478-825-2140","478-825-9987","college@gatewaymgt.com","Chantelle Boone","Toni Raymond","38.18889","-99.1139","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:48:15Z","Stevens Elise Key"
"Colony West","F","76","Sade Davis","","Kimberly","5284 Bloomfield Road","Macon","GA","31206","478-788-3136","478-788-5216","colony@gatewaymgt.com","Chantelle Boone","Toni Raymond","53.80435","-3.04174","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:48:46Z","Stevens Elise Key"
"Coosa Village Apts","55","56","TBD","","Tammy","58 Elizabeth Lane","Sylacauga","AL","35150","256-369-2500","256-585-6019","coosavillage@gatewaymgt.com","Trisha Chauvin","Erin Loupe","41.05401","-74.1776","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:49:21Z","Stevens Elise Key"
"Cottage MWC I","62","38","Christy Sandoval","","Tammy","1401 Stonecrop Drive","Midwest City","OK","73110","405-708-6054","","cottagemwc@gatewaymgt.com","Diana Stoflet","Erin Loupe","37.98908","-84.3941","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:50:18Z","Stevens Elise Key"
"Cottage MWC II","62","42","Christy Sandoval","","Tammy","1401 Stonecrop Drive","Midwest City","OK","73110","405-708-6054","","cottagemwc@gatewaymgt.com","Diana Stoflet","Erin Loupe","37.98908","-84.3941","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:50:40Z","Stevens Elise Key"
"Cottage Park Guthrie","RD-62","34","Raven Carreira","","Amber","700 Cottage Park Circle","Guthrie","OK","73044","405-293-9220","","cottageparkguthrie@gatewaymgt.com","Diana Stoflet","Erin Loupe","34.9357","-95.7845","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:51:05Z","Stevens Elise Key"
"Cottage Park McAlester","62","40","Colette Anderson","","Kimberly","921 Cottage Park Circle","McAlester","OK","74501","918-302-9955","","cottagemcalester@gatewaymgt.com","Diana Stoflet","Erin Loupe","34.9359","-95.785","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:51:28Z","Stevens Elise Key"
"Cottage Park Newcastle","62","40","Kathryn Holder","","Amber","567 N. Walker Dr","Newcastle","OK","73065","405-708-6053","","cottagenewcastle@gatewaymgt.com","Diana Stoflet","Erin Loupe","38.80822","-94.4651","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:51:54Z","Stevens Elise Key"
"Cottage Park Shawnee","62","32","Pamela Minix","","Amber","1625 Grace Court","Shawnee","OK","74804","405-896-3158","","cottageshawnee@gatewaymgt.com","Diana Stoflet","Erin Loupe","40.69421","-73.9973","2025-08-01T17:54:11Z","Alan Branch","2025-09-12T15:52:20Z","Stevens Elise Key"
"Covington Mill Village","55","122","Dwahaun Ryans","Leyah Britt","Bendetta","11101 Covington Bypass Road","Covington","GA","30014","470-374-9300","(470) 374-9300","covingtonmillvillage@gatewaymgt.com","Brandi Harris","Toni Raymond","33.56911","-83.8511","2025-08-01T17:54:11Z","Alan Branch","2025-09-30T17:19:33Z","Amy Beans"
"Creekview","55","56","Charity Wright","Tracey Smith","Tammy","104 Creekview Village Pl.","Florence","AL","35633","256-712-2726","(256) 712-2612","creekview@gatewaymgt.com","Shirley Greer","Paula Hall","44.51865","-103.871","2025-08-01T17:54:11Z","Alan Branch","2025-09-12T15:59:51Z","Stevens Elise Key"
"Cross Creek Landing","62","44","Raven Carreira","","Tammy","1919 NW 142nd St","Oklahoma City","OK","73134","405-896-3159","","crosscreek@gatewaymgt.com","Diana Stoflet","Erin Loupe","25.90288","-80.2619","2025-08-01T17:54:11Z","Alan Branch","2025-09-12T16:01:06Z","Stevens Elise Key"
"Crossings at Conyers, The","55","122","Schevette Glinton","Leyah Britt","Paulette","2001 W Iris Drive SE","Conyers","GA","30013","470-822-0200","(470) 822-0200","crossingsatconyers@gatewaymgt.com","Brandi Harris","Toni Raymond","33.63603","-83.9817","2025-08-01T17:54:11Z","Alan Branch","2025-09-24T18:20:59Z","Amy Beans"
"Crosswinds","F","72","Shellie Fennel","Betty Hutto","Amber","801 Booth Road","Warner Robins","GA","31088","478-366-2660","","crosswinds@gatewaymgt.com","Jonathan Marrero","Toni Raymond","32.59275","-83.6062","2025-08-01T17:54:11Z","Alan Branch","2025-09-12T16:49:00Z","Stevens Elise Key"
"Cypress Trace","55","40","Marilyn Smith","","Bendetta","904 Clark Avenue","Bay Minette","AL","36507","251-580-0005","(251) 265-2812","cypresstrace@gatewaymgt.com","Kat Butts","Paula Hall","38.62414","-90.1958","2025-08-01T17:54:11Z","Alan Branch","2025-09-12T16:49:43Z","Stevens Elise Key"
"Dogwood Trail","F","64","Monquie Williams","","Paulette","108 Marie Road","Albany","GA","31705","229-715-7199","229-715-7199","dogwoodtrail@gatewaymgt.com","Ciera Armstead | Tere Dykes","Paula Hall","41.36939","-75.8796","2025-08-01T17:54:13Z","Alan Branch","2025-09-30T19:33:26Z","Amy Beans"
"Double Creek Apts","55","48","Charity Wright","Tracey Smith","Bendetta","4704 Chisholm Road","Florence","AL","35630","256-718-1427","256-513-7499","doublecreek@gatewaymgt.com","Shirley Greer","Paula Hall","34.88136","-87.6727","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T14:52:03Z","Stevens Elise Key"
"Drakes Landing","F","216","Indira Morcol","Destinie Coston","","801 N. Ardenwood Drive","Baton Rouge","LA","70806","225-240-4493","","drakeslanding@gatewaymgt.com","Tina Ard","Erin Loupe","0","0","2025-08-01T17:54:13Z","Alan Branch","2025-09-30T17:18:09Z","Amy Beans"
"Dugan Square","55","42","Pam Ford","","Amber","400 Dugan Court","Pratt City","AL","35214","205-868-3668","205-208-9493","dugan@gatewaymgt.com","T'arra Brown","Erin Loupe","29.58139","-90.6731","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T16:53:10Z","Stevens Elise Key"
"Eagles Landing Apts","F","64","Bethany Sizemore","Antoinette Coleman","Paulette","162 Royal Drive","Madison","AL","35758","256-325-1907","256-513-7505","eagleslanding@gatewaymgt.com","Shirley Greer","Paula Hall","53.77391","-2.71823","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T16:53:51Z","Stevens Elise Key"
"East Oaks Apts.","F","40","TBD","TBD","Tammy","252 Lonnie Lane","Americus","GA","31709","229-928-5072","229-207-0872","eastoaks@gatewaymgt.com","Chantelle Boone","Toni Raymond","33.63229","-98.6885","2025-08-01T17:54:13Z","Alan Branch","2025-09-24T16:39:36Z","Amy Beans"
"Eastside Family","F","28","Elizabeth Stehno","","Amber","1002 Northridge Ln","Enid","OK","73701","580-377-1497","","eastsidefamily@gatewaymgt.com","Diana Stoflet","Erin Loupe","0","0","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T14:53:27Z","Stevens Elise Key"
"Forest Mill Apts","F","80","TBD","Mekita Allen","Kimberly","1406 Forest Mill Lane","West Point","GA","31833","706-862-1120","706-775-8420","forestmill@gatewaymgt.com","Jonathan Marrero","Toni Raymond","30.19802","-81.6369","2025-08-01T17:54:13Z","Alan Branch","2025-09-22T21:53:23Z","Amy Beans"
"Forest Ridge Heights","F","37","Elizabeth Stehno","","Gail","1002 Northridge Ln","Enid","OK","73701","580-377-1497","","forestheights@gatewaymgt.com","Diana Stoflet","Erin Loupe","37.32422","-79.9989","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T14:53:52Z","Stevens Elise Key"
"French Farms","55","56","Porshis Brooks","","Amber","20766 Victoria Way","Athens","AL","35611","256-867-4356","256-567-3475","frenchfarms@gatewaymgt.com","Shirley Greer","Paula Hall","30.28635","-95.6234","2025-08-01T17:54:13Z","Alan Branch","2025-09-16T16:04:37Z","Amy Beans"
"Garden Lakes","F","288","Jakita Moore","Charmaine Weston","Kimberly","1307 Mason Road","Columbia","SC","29203","803-999-5801","","gardenlakes@gatewaymgt.com","Natashia Thompson","Melissa Valley","34.06992","-81.0028","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T17:53:28Z","Stevens Elise Key"
"Garden Oaks - Lease up","F","288","Ornela Marion","Latice Jackson","Gail","2000 Salem Road","Beaufort","SC","29902","843-605-9444","","gardenoaks@gatewaymgt.com","Natashia Thompson","Melissa Valley","43.89803","-79.0309","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T21:38:50Z","Amy Beans"
"Gateway at Rossville","F","156","Sherry Wilson","Nicole Bennett","Amber","2563 Happy Valley Road","Rossville","GA","30741","762-325-3550","","rossville@gatewaymgt.com","Anna Walters","Erin Loupe","35.06171","-90.0485","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T17:55:08Z","Stevens Elise Key"
"Gateway at the Green","F","72","Anisha Anderson","","Bendetta","39 Webb Road","Greenville","SC","29601","864-867-1901","","gatewayatthegreen@gatewaymgt.com","Sharon Waldo","Melissa Valley","41.14165","-73.3427","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T17:55:41Z","Stevens Elise Key"
"Glencoe Trace Apts.","62","72","Jody Head","","Gail","1624 Hallmark Drive","Griffin","GA","30223","770-228-9115","678-967-3422","glencoe@gatewaymgt.com","Brenda Jackson","Toni Raymond","29.51588","-98.4723","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T17:56:17Z","Stevens Elise Key"
"Griffin Village","F","150","Jody Head","LaTica Broughton","Becky","2101 Williamson Road","Griffin","GA","30224","678-408-8050","","griffinvillage@gatewaymgt.com","Brenda Jackson","Toni Raymond","0","0","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T17:57:02Z","Stevens Elise Key"
"Hamilton Place Apts","55","56","Susan Moncrief","","Paulette","111 Todd Trail","Millbrook","AL","36054","334-290-7744","334-513-8689","hamilton@gatewaymgt.com","Kat Butts","Paula Hall","36.38299","-92.1681","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T17:57:35Z","Stevens Elise Key"
"Heatherwood Apts","F","36","TBD","","Kimberly","1621 Heatherwood Dr.","Alexander City","AL","35010","256-329-9581","256-329-9581","heatherwood@gatewaymgt.com","Trisha Chauvin","Erin Loupe","42.29729","-83.295","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T17:58:22Z","Stevens Elise Key"
"Heritage Townhomes","F","240","Brandon Alexander","Tamika Bunnell","Amber","6554 Chupp Road","Stonecrest","GA","30058","770-756-8699","770-756-8699","heritagetownhomes@gatewaymgt.com","Brenda Jackson","Toni Raymond","33.7066","-84.1242","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T17:58:58Z","Stevens Elise Key"
"Heritage Vista Apts.","F","64","Sabrina Holsey","","Amber","3029 Heritage Place","Milledgeville","GA","31061","478-295-2565","478-997-8966","heritage@gatewaymgt.com","Brandi Harris","Toni Raymond","-37.8283","144.7083","2025-08-01T17:54:13Z","Alan Branch","2025-09-24T18:22:30Z","Amy Beans"
"Heron Lake Apts.","F","88","Amanda Cooper","TBD","Tammy","1800 Eastwind Road","Valdosta","GA","31602","229 257-0844","229-375-5911","heronlake@gatewaymgt.com","Tere Dykes","Paula Hall","30.87667","-83.2616","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T18:00:08Z","Stevens Elise Key"
"Heron Lake II Apts.","F","64","Amanda Cooper","TBD","Tammy","Eastwind Road","Valdosta","GA","31602","229-257-0844","229-375-5911","heronlake@gatewaymgt.com","Tere Dykes","Paula Hall","30.87667","-83.2616","2025-08-01T17:54:13Z","Alan Branch","2025-09-12T18:00:37Z","Stevens Elise Key"
"Hickory Run I Apts.","F","42","Effie Parker","Revonda Gardner-Bedingfield","Paulette","720 Lynn Drive SE","Jacksonville","AL","36265","256-782-0736","256-782-0736","hickory@gatewaymgt.com","Anna Walters","Erin Loupe","33.80802","-85.756","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T14:56:55Z","Stevens Elise Key"
"Hickory Run II Apts.","F","40","Effie Parker","Revonda Gardner-Bedingfield","Paulette","710 Lynn Drive SE","Jacksonville","AL","36265","256-782-0736","256-782-0736","hickory@gatewaymgt.com","Anna Walters","Erin Loupe","33.80802","-85.756","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T14:56:59Z","Stevens Elise Key"
"High Point Senior","F","56","Stephanie Burton","TBD","Gail","22572 Christi Smith Rd.","Andalusia","AL","36421","334-817-7952","","highpointsenior@gatewaymgt.com","Trisha Chauvin","Erin Loupe","37.9645","-76.7567","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T18:01:41Z","Stevens Elise Key"
"Highland Estates of Rome","55","84","Nadia Roper","","Paulette","179 Woodrow Wilson Way","Rome","GA","30165","706-378-2255","706-622-4919","highlandestates@gatewaymgt.com","Anna Walters","Erin Loupe","34.28293","-85.1989","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T18:02:28Z","Stevens Elise Key"
"Highland Park Family","F","34","Colette Anderson","","Tammy","531 Airline Drive","Ponca City","OK","74601","580-352-3588","","highlandparkfamily@gatewaymgt.com","Diana Stoflet","Erin Loupe","29.98318","-90.2649","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T14:57:42Z","Stevens Elise Key"
"Highland Park Senior Village","62","50","Jennifer Doyle","","Bendetta","6785 Selman Drive","Douglasville","GA","30134","770-947-1838","770-212-2267","highland@gatewaymgt.com","Trisha Chauvin","Erin Loupe","33.74229","-84.7505","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T18:04:14Z","Stevens Elise Key"
"Hill at Sand Mountain, The - Lease-up","F","56","Tracy Moualhi","Diana Street","Bendetta","114 Laverne Drive","Rainesville","AL","35986","256-273-8001","","hillatsandmountain@gatewaymgt.com","Anna Walters","Erin Loupe","43.23405","-77.6441","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T18:05:05Z","Stevens Elise Key"
"Horizon Ridge","F","240","Linda Shepard","Karen Harris","Amber","1010 Horizon Ridge Drive","Hephzibah","GA","30815","706- 842-3939","(706) 842-3939","horizonridge@gatewaymgt.com","Sharon Waldo","Melissa Valley","33.40203","-82.1036","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T18:08:06Z","Stevens Elise Key"
"Howell Senior School Apts","55","55","Ciera Armstead","","Kimberly","408 E Newton Street","Dothan","AL","36303","334-305-1229","334-828-7171","howellseniorschool@gatewaymgt.com","Ciera Armstead | Tere Dykes","Paula Hall","31.22895","-85.3885","2025-08-01T17:54:14Z","Alan Branch","2025-09-30T19:33:52Z","Amy Beans"
"Ivy Pointe Apts","F","56","Kimberly Fulpher","","Tammy","400 John Aldridge Dr.","Tuscumbia","AL","35674","256-314-0155","256-275-0006","ivy@gatewaymgt.com","Shirley Greer","Paula Hall","0","0","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T14:59:08Z","Stevens Elise Key"
"Ivy Pointe II Apts.","F","48","Kimberly Fulpher","","Tammy","400 John Aldridge Dr.","Tuscumbia","AL","35674","256-314-0155","256-275-0006","ivy2@gatewaymgt.com","Shirley Greer","Paula Hall","34.72861","-87.68","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T14:59:14Z","Stevens Elise Key"
"Jasmine Trails","F","72","Mandy Potter","","Gail","19451 Oak Rd West","Gulf Shores","AL","36542","251-929-9010","251-202-0156","jasminetrails@gatewaymgt.com","Kat Butts","Paula Hall","30.31384","-87.6923","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T18:10:15Z","Stevens Elise Key"
"Jefferson Grove","F","160","Veronica Mann","DeNedra Pearson","Gail","414 Jefferson St","Newnan","GA","30263","470-299-7599","470-299-7599","jeffersongrove@gatewaymgt.com","Arglidian McElheney","Toni Raymond","0","0","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T18:12:00Z","Stevens Elise Key"
"Jonesboro Road","55","110","JaniceTannehill","Amber Davis","Bendetta","3895 Jonesboro Road","Fairborn","GA","30213","470-915-3820","","jonesbororoad@gatewaymgt.com","Brenda Jackson","Toni Raymond","0","0","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T18:12:38Z","Stevens Elise Key"
"Juanita Gardner","55","108","Precious Crouch","Antowyneisha Smith","Paulette","3650 Bakers Ferry Raod","Adamsville","GA","30331","470-763-1664","","juanitagardner@gatewaymgt.com","Arglidian McElheney","Toni Raymond","33.73263","-84.5739","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T18:13:25Z","Stevens Elise Key"
"Kenyon at Cross Creek, The","F","168","Marquita Crosby","TBD","Bendetta","252 Cross Creek Rd.","Central","SC","29630","864-865-4401","","kenyonatcrosscreek@gatewaymgt.com","Natashia Thompson","Melissa Valley","35.20823","-83.8688","2025-08-01T17:54:14Z","Alan Branch","2025-09-12T18:18:59Z","Stevens Elise Key"
"Kinsey Cove","F","212","Pauline Kirkland","","Kimberly","1121 Kinsely Road","Dothan","AL","36303","334-792-4548","334-777-2005","kinseycove@gatewaymgt.com","Ciera Armstead | Tere Dykes","Paula Hall","31.23525","-85.3803","2025-08-01T17:54:14Z","Alan Branch","2025-09-30T19:34:01Z","Amy Beans"
